date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,google_survey_cli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,negativeIncr,total_resultsIncr
2020-01-04,202001,X,US,,,,,,,,396.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179143.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,202002,X,US,,,,,,,,264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180831.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,202003,X,US,,,,,,,657.1899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176752.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,202004,X,US,,,,,,,753.0799999999999,0.0,0.0,49045.5918,46191.30330000001,42160.37879999998,39777.36110000001,44479.69629999998,42115.03459999997,51754.37230000002,49110.542599999935,67856.39649999999,64773.044499999996,38457.96210000002,36423.04349999999,44176.403199999964,41835.79,53438.39229999997,50827.02569999998,71098.79100000001,67858.50190000003,60492.020599999996,57612.98889999999,49452.0605,46802.4362,53099.887599999995,50422.590200000006,51316.445500000045,48670.85769999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,176066.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
2020-02-01,202005,X,US,,,,,,,745.04,0.0,0.0,56011.94710000001,53042.884400000024,48912.668300000034,46714.39919999999,51051.7941,48638.36690000003,59115.0149,56210.758799999996,76368.31730000004,72891.49380000004,44617.7645,42723.74120000001,50609.42300000002,48236.75289999998,61060.29170000004,58235.74900000004,79728.74139999998,76020.27630000003,68923.26719999999,66018.83159999999,56837.29929999995,54372.593299999964,60931.62889999999,58346.427899999995,57979.1409,55110.551499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,175092.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0
2020-02-08,202006,X,US,,,,,,,742.5300000000001,0.0,0.0,56092.598499999986,54571.367100000025,49757.861100000024,48584.35769999998,51471.99119999998,50141.720000000045,58886.39819999997,57268.24819999998,75837.51950000004,74007.95529999997,45364.26960000001,44286.669799999996,50918.5314,49631.61919999998,60960.704600000005,59427.59829999998,79620.12089999997,77728.00370000003,68830.80320000002,67458.06969999996,57823.64279999999,56576.53270000001,61150.20489999998,59837.86230000001,58033.42889999997,56429.963599999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,177040.0,59.666666666666664,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0
2020-02-15,202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,806.55,0.0,0.0,61794.167,59290.63519999999,53342.98680000001,51066.753900000076,56167.19219999996,53867.05720000001,65268.70840000002,62663.79490000003,86506.03809999993,84105.24270000005,48958.16849999999,46849.225600000005,55773.1703,53534.26089999999,67485.06970000008,65030.989600000015,89966.55149999997,87431.50829999993,77266.70060000001,75115.93469999997,62694.89330000001,60223.75709999999,67266.51679999992,64786.96109999997,64728.23050000006,62243.760100000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,175040.0,59.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0
2020-02-22,202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,818.4200000000001,0.0,0.0,63016.991599999994,59812.081999999995,54032.22319999998,50643.956600000005,56622.5536,53682.65490000002,65929.90130000001,62891.7901,89086.36859999997,86798.60540000001,48821.649000000005,45822.013899999954,56214.414,53316.584500000004,68422.37239999998,65515.642299999985,93639.90180000002,91186.43510000009,79546.577,76972.20649999997,63786.628499999984,60088.871900000006,68359.34009999999,64851.06880000002,66035.50060000009,63156.33779999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.542166732284679,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,175393.0,506.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0
2020-02-29,202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,825.4,0.0,0.0,64797.039399999994,61966.335099999975,58329.333599999976,54929.96839999999,59952.140500000016,57207.680500000046,68149.29160000001,65417.01219999999,87535.27999999997,85084.50619999999,53205.848599999976,50201.14019999997,59248.166899999975,56532.79180000002,70519.16399999996,67841.28900000002,91206.41809999994,88491.7544,79513.58500000004,76990.20869999997,66889.33859999994,63278.117499999964,71048.54259999996,67676.5223,67294.20899999999,64663.28760000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.505270380751277,,11.0,0.0,6517.0,0.0,0.0,5.0,0.0,0.0,176648.0,440.3333333333333,2.0,1.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0
2020-03-07,202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,831.89,0.0,0.0,63330.906199999976,59993.52849999997,57847.12909999999,53892.437300000005,58830.24679999996,55600.90070000004,66627.65759999996,63459.04819999991,84725.22800000006,81669.37649999998,52568.009499999964,49020.434099999984,58279.114099999984,55124.162500000006,69051.11380000002,65919.31729999998,87833.73289999997,84412.64390000004,76915.57429999995,73840.64190000002,65372.08719999999,61143.754600000044,69551.1604,65668.19700000003,65760.06269999998,62651.68560000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068340394792941,0.1,556.0,1148.0,6091.0,0.0,0.0,22.0,0.0,6.0,177707.0,271.0,18.0,16.0,0.0,0.0,0.0,417.0,391.0,6040.0,17843.0
