date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wtravel_outside_state_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-01-04,202001,X,US,,,,,,,,396.0,3.0,,,,,,,,,179143.0,1238.0,,,,,,,,,
2020-01-11,202002,X,US,,,,,,,,264.0,1.0,,,,,,,,,180831.0,1548.6666666666667,,,,,,,,,
2020-01-18,202003,X,US,,,,,,,93.88428571428571,0.0,0.0,,,,,,,,,176752.0,1038.6666666666667,,,,,,,,,
2020-01-25,202004,X,US,,,,,,,107.58285714285714,0.0,0.0,,,,,,,,,176066.0,893.0,1.0,1.0,,,2.0,2.0,,,
2020-02-01,202005,X,US,,,,,,,106.4342857142857,0.0,0.0,,,,,,,,,175092.0,877.0,1.0,0.0,,,8.0,6.0,,,
2020-02-08,202006,X,US,,,,,,,106.0757142857143,0.0,0.0,,,,,,,,,177040.0,862.6666666666666,1.0,0.0,,,12.0,4.0,,,
2020-02-15,202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,115.22142857142856,0.0,0.0,,,,,,,,,175040.0,681.3333333333334,1.0,0.0,,,14.0,2.0,,,
2020-02-22,202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,116.91714285714284,0.0,0.0,,,,,,,,,175393.0,885.0,1.0,0.0,,,16.0,2.0,,,
2020-02-29,202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,117.91428571428571,0.0,0.0,,,,,,,,,176648.0,904.3333333333334,2.0,1.0,,,26.0,10.0,,,
2020-03-07,202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,118.84142857142857,0.0,0.0,,,,,,,,0.1,177707.0,949.6666666666666,18.0,16.0,,,417.0,391.0,6044.0,740.0,6811.0
2020-03-14,202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,108.85285714285715,0.0,0.0,,,,,,,,0.6,174586.66666666666,649.0,61.0,43.0,,,2952.0,2535.0,41151.0,4519.0,45806.0
2020-03-21,202012,X,US,-22.714285714285715,9.285714285714286,2.142857142857143,-28.571428571428573,-25.428571428571427,11.142857142857142,73.85428571428571,0.0,0.0,,,,,,,,2.9,175517.66666666666,454.6666666666667,482.0,421.0,,,26056.0,23104.0,296555.0,44476.0,341365.0
2020-03-28,202013,X,US,-41.57142857142857,-14.142857142857142,-11.571428571428571,-47.142857142857146,-41.42857142857143,17.428571428571427,54.932857142857145,0.0,0.0,,,,,,,,7.6,183165.33333333334,6368.666666666667,3018.0,2536.0,,,127417.0,101361.0,616813.0,136234.0,753746.0
2020-04-04,202014,X,US,-42.0,-15.0,-15.857142857142858,-50.0,-45.857142857142854,18.428571428571427,53.49,0.0,0.0,,,,,,,,9.5,201348.66666666666,25405.0,11165.0,8147.0,,,319777.0,192360.0,788649.0,210314.0,1000530.0
2020-04-11,202015,X,US,-43.714285714285715,-14.0,-13.714285714285714,-52.142857142857146,-48.285714285714285,19.285714285714285,55.09714285714285,515.0,0.0,,,,,,,,9.2,214520.66666666666,39993.333333333336,25786.0,14621.0,0.7108754428571429,0.7307951142857143,540715.0,220938.0,939460.0,236810.0,1178873.0
2020-04-18,202016,X,US,-44.285714285714285,-19.285714285714285,-22.0,-51.142857142857146,-46.42857142857143,18.714285714285715,59.231428571428566,580.0,0.0,,,,,,,,9.9,208434.33333333334,35831.0,40955.0,15169.0,0.7109041285714285,0.7307879857142857,738465.0,197750.0,892421.0,208388.0,1103314.0
2020-04-25,202017,X,US,-40.142857142857146,-14.857142857142858,-8.571428571428571,-48.285714285714285,-44.57142857142857,17.714285714285715,66.66428571428571,373.0,0.0,,,,,,,,9.5,202815.0,31771.333333333332,56446.0,15491.0,0.6283897428571428,0.6441832142857143,944771.0,206306.0,1226983.0,226784.0,1457619.0
2020-05-02,202018,X,US,-35.0,-10.0,1.7142857142857142,-44.57142857142857,-42.57142857142857,15.285714285714286,73.83428571428571,516.0,0.0,,,,,,,,9.3,192206.33333333334,23564.666666666668,69810.0,13364.0,0.5088696714285714,0.5178459571428572,1138175.0,193404.0,1625095.0,248561.0,1880927.0
2020-05-09,202019,X,US,-30.142857142857142,-3.5714285714285716,9.428571428571429,-41.42857142857143,-39.57142857142857,14.571428571428571,83.30571428571429,472.0,0.0,,,,,,,,8.2,187279.33333333334,20598.0,82066.0,12256.0,0.35081660000000003,0.3598620142857143,1313587.0,175412.0,2002119.0,230314.0,2239601.0
2020-05-16,202020,X,US,-28.857142857142858,-5.142857142857143,14.428571428571429,-39.714285714285715,-37.57142857142857,13.857142857142858,67.17285714285714,453.0,0.0,,,,,,,,7.6,182580.0,16744.333333333332,92060.0,9994.0,0.4411105142857143,0.4548870142857143,1469598.0,156011.0,2467749.0,221399.0,2695427.0
2020-05-23,202021,X,US,-25.0,-3.7142857142857144,23.142857142857142,-37.57142857142857,-35.714285714285715,12.857142857142858,104.16142857142859,417.0,0.0,,,,,,,,7.4,176273.0,11997.333333333334,100524.0,8464.0,0.44596841428571427,0.4515527714285714,1623133.0,153535.0,2661045.0,214174.0,2882279.0
2020-05-30,202022,X,US,-23.428571428571427,-3.5714285714285716,40.0,-36.285714285714285,-37.142857142857146,12.428571428571429,109.39999999999999,309.0,0.0,,,,,,,,6.1,171612.66666666666,9066.666666666666,107056.0,6532.0,0.4345449,0.4478035714285714,1769319.0,146186.0,2991810.0,213536.0,3215945.0
2020-06-06,202023,X,US,-19.142857142857142,-0.7142857142857143,38.285714285714285,-33.0,-30.428571428571427,10.571428571428571,115.56714285714285,208.0,0.0,,,,,,,,4.8,170409.33333333334,8618.333333333334,112966.0,5910.0,0.5294599428571429,0.5369131285714286,1919966.0,150647.0,3334054.0,211142.0,3552936.0
2020-06-13,202024,X,US,-16.428571428571427,-0.7142857142857143,49.714285714285715,-30.285714285714285,-29.285714285714285,9.428571428571429,125.25285714285717,278.0,0.0,,,,,,,,4.0,168629.0,7326.0,118083.0,5117.0,0.4843879857142857,0.4989538714285714,2068723.0,148757.0,3560276.0,220593.0,3788177.0
2020-06-20,202025,X,US,-14.285714285714286,0.5714285714285714,59.42857142857143,-28.0,-29.0,8.428571428571429,131.56571428571428,246.0,0.0,,,,,,,,4.0,168949.0,8114.0,122265.0,4182.0,0.5085006,0.5233573428571429,2251329.0,182606.0,3944166.0,317999.0,4270154.0
