region,week,Number of Facilities Reporting,Total Number of ED Visits,CLI Percent of Total Visits,ILI Percent of Total Visits,Number of Sites Reporting,Total Patient Visits,% of Total Visits for ILI (unweighted),% of Total Visits for ILI (weighted), Baseline,,,,,
X,201940,"3,401","2,154,618",1.1,1.3,"2,912","1,458,307",1.5,1.5,2.4,,,,,
X,201941,"3,395","2,107,775",1.1,1.5,"2,942","1,436,748",1.6,1.6,2.4,,,,,
X,201942,"3,396","2,098,224",1.2,1.6,"2,966","1,430,800",1.7,1.7,2.4,,,,,
X,201943,"3,397","2,120,880",1.3,1.7,"2,997","1,473,831",1.9,1.8,2.4,,,,,
X,201944,"3,414","2,077,918",1.4,1.9,"3,005","1,435,369",2,2,2.4,,,,,
X,201945,"3,453","2,139,381",1.6,2.2,"3,022","1,463,253",2.4,2.4,2.4,,,,,
X,201946,"3,467","2,135,531",1.7,2.4,"2,991","1,426,928",2.6,2.6,2.4,,,,,
X,201947,"3,477","2,223,853",1.7,2.6,"2,987","1,484,969",3,2.9,2.4,,,,,
X,201948,"3,476","2,112,214",2,3,"2,993","1,275,199",3.5,3.4,2.4,,,,,
X,201949,"3,494","2,240,244",1.8,3,"2,995","1,476,208",3.3,3.3,2.4,,,,,
X,201950,"3,493","2,254,354",1.9,3.4,"2,958","1,458,774",3.9,3.9,2.4,,,,,
X,201951,"3,492","2,238,209",2.2,4.2,"2,926","1,424,436",5,5.1,2.4,,,,,
X,201952,"3,492","2,346,996",2.7,5.8,"2,917","1,338,669",7.2,7.1,2.4,,,,,
X,202001,"3,544","2,435,276",2.4,5.4,"2,970","1,426,691",6.2,5.9,2.4,,,,,
X,202002,"3,548","2,325,954",1.9,4.5,"3,002","1,492,251",5.1,4.9,2.4,,,,,
X,202003,"3,546","2,295,877",1.8,4.5,"2,995","1,489,132",5.4,5.3,2.4,,,,,
X,202004,"3,572","2,293,474",2,5,"2,997","1,496,826",6,6.1,2.4,,,,,
X,202005,"3,572","2,388,064",2.3,5.8,"2,995","1,575,900",6.9,6.7,2.4,,,,,
X,202006,"3,586","2,377,122",2.2,5.9,"3,005","1,571,657",7.1,6.8,2.4,,,,,
X,202007,"3,599","2,312,178",2.1,5.2,"2,969","1,533,883",6.2,6.1,2.4,,,,,
X,202008,"3,594","2,297,848",1.9,4.8,"2,984","1,433,517",5.6,5.5,2.4,,,,,
X,202009,"3,610","2,259,444",1.8,4.3,"2,947","1,466,346",5.1,5.1,2.4,,,,,
X,202010,"3,622","2,291,241",2.2,4.7,"2,913","1,489,410",5.3,5.3,2.4,,,,,
X,202011,"3,626","2,277,988",3.4,5.9,"2,847","1,425,172",6.3,5.7,2.4,,,,,
X,202012,"3,623","1,829,925",5.9,7,"2,810","1,068,755",7.4,6.4,2.4,,,,,
X,202013,"3,642","1,471,480",6.7,5.7,"2,738","853,431",6.2,4.9,2.4,,,,,
X,202014,"3,640","1,281,325",6.8,4.4,"2,696","750,546",4.8,3.8,2.4,,,,,
X,202015,"3,629","1,217,904",6,3.2,"2,698","718,953",3.5,2.8,2.4,,,,,
X,202016,"3,630","1,196,326",4.9,2.3,"2,679","709,970",2.6,2.1,2.4,,,,,
X,202017,"3,618","1,266,900",4.2,1.8,"2,663","750,576",2,1.7,2.4,,,,,
X,202018,"3,628","1,323,718",3.7,1.4,"2,635","790,883",1.6,1.4,2.4,,,,,
X,202019,"3,627","1,386,243",3.1,1.2,"2,624","817,791",1.4,1.2,2.4,,,,,
X,202020,"3,630","1,436,536",2.7,1,"2,613","846,493",1.2,1.1,2.4,,,,,
X,202021,"3,656","1,538,979",2.4,0.9,"2,954","1,057,716",1.1,1,2.4,,,,,
X,202022,"3,677","1,632,575",2,0.8,"2,936","1,077,400",0.9,0.9,2.4,,,,,
X,202023,"3,679","1,681,952",1.8,0.7,"2,913","1,129,210",0.8,0.8,2.4,,,,,
X,202024,"3,679","1,757,501",1.9,0.7,"2,886","1,168,231",0.8,0.9,2.4,,,,,
X,202025,"3,687","1,801,777",2.3,0.9,"2,923","1,241,545",1,0.9,2.4,,,,,
X,202026,"3,697","1,894,523",3.1,1.2,"2,880","1,281,547",1.2,1.2,2.4,,,,,
X,202027,"3,699","1,897,782",3.8,1.3,"2,873","1,282,831",1.4,1.3,2.4,,,,,
X,202028,"3,696","1,993,734",4.2,1.3,"2,898","1,354,025",1.5,1.4,2.4,,,,,
X,202029,"3,700","1,951,864",4.1,1.3,"2,870","1,332,358",1.4,1.3,2.4,,,,,
X,202030,"3,706","1,914,918",3.7,1.1,"2,932","1,350,378",1.2,1.2,2.4,,,,,
X,202031,"3,702","1,905,592",3.3,1,"2,968","1,341,511",1.2,1.2,2.4,,,,,
X,202032,"3,723","1,889,846",3,0.9,"2,924","1,327,898",1.1,1.1,2.4,,,,,
X,202033,"3,722","1,922,247",2.6,0.8,"2,944","1,331,021",1,1,2.4,,,,,
X,202034,"3,729","1,907,060",2.3,0.8,"2,897","1,334,021",1,1,2.4,,,,,
X,202035,"3,733","1,911,604",2.2,0.8,"2,925","1,340,683",1,1,2.4,,,,,
X,202036,"3,729","1,905,179",2,0.8,"2,869","1,317,298",0.9,0.9,2.4,,,,,
X,202037,"3,730","1,919,106",2,0.8,"2,849","1,308,903",1,1,2.4,,,,,
X,202038,"3,748","1,920,278",2,0.8,"2,827","1,325,442",1,1,2.4,,,,,
X,202039,"3,756","1,928,975",2.1,0.9,"2,784","1,346,001",1,1,2.4,,,,,
X,202040,"3,756","1,930,860",2.3,0.9,"3,305","1,535,945",1.1,1.1,2.6,,,,,
X,202041,"3,758","1,992,820",2.7,1.1,"3,334","1,610,538",1.2,1.2,2.6,,,,,
X,202042,"3,756","1,964,388",2.9,1,"3,318","1,576,883",1.1,1.1,2.6,,,,,
X,202043,"3,761","1,953,462",3.3,1.1,"3,336","1,573,580",1.2,1.2,2.6,,,,,
X,202044,"3,752","1,889,205",3.7,1.1,"3,432","1,558,591",1.2,1.3,2.6,,,,,
X,202045,"3,758","1,963,302",4.6,1.2,"3,432","1,595,412",1.3,1.4,2.6,,,,,
X,202046,"3,756","2,039,790",5.5,1.3,"3,400","1,635,093",1.4,1.5,2.6,,,,,
X,202047,"3,762","1,967,640",6.3,1.4,"3,338","1,584,214",1.4,1.6,2.6,,,,,
X,202048,"3,764","1,873,740",6.8,1.4,"3,335","1,418,290",1.5,1.6,2.6,,,,,
X,202049,"3,766","1,933,750",6.9,1.3,"3,338","1,530,701",1.4,1.6,2.6,,,,,
X,202050,"3,761","1,917,909",7.3,1.3,"3,348","1,545,283",1.4,1.5,2.6,,,,,
X,202051,"3,771","1,867,080",7.4,1.3,"3,283","1,483,558",1.4,1.5,2.6,,,,,
X,202052,"3,772","1,762,431",7.8,1.3,"3,281","1,352,891",1.5,1.5,2.6,,,,,
X,202053,"3,749","1,895,988",8.1,1.4,"3,250","1,445,158",1.5,1.6,2.6,,,,,
X,202101,"3,546","1,831,448",8.3,1.3,"3,264","1,561,742",1.4,1.5,2.6,,,,,
X,202102,"3,569","1,764,104",7.5,1.1,"3,229","1,485,371",1.3,1.3,2.6,,,,,
X,202103,"3,568","1,780,638",6.3,1.1,"3,184","1,466,802",1.2,1.3,2.6,,,,,
X,202104,"3,571","1,754,009",5.1,1,"3,062","1,410,370",1.1,1.1,2.6,,,,,
Region 1,201940,204,"132,476",0.8,0.9,255,"130,089",1,0.9,1.9,,,,,
Region 1,201941,203,"130,619",0.8,1.1,261,"130,676",1.1,1,1.9,,,,,
Region 1,201942,203,"132,649",0.9,1.2,265,"129,402",1.2,1.1,1.9,,,,,
Region 1,201943,203,"132,113",0.9,1.2,262,"133,141",1.2,1.1,1.9,,,,,
Region 1,201944,204,"128,476",0.9,1.2,271,"132,506",1.2,1.1,1.9,,,,,
Region 1,201945,204,"127,711",1,1.3,263,"131,409",1.4,1.3,1.9,,,,,
Region 1,201946,203,"125,535",1.2,1.6,261,"127,939",1.5,1.4,1.9,,,,,
Region 1,201947,203,"129,052",1.2,1.6,264,"131,725",1.7,1.5,1.9,,,,,
Region 1,201948,203,"125,038",1.4,1.8,263,"111,608",2,1.8,1.9,,,,,
Region 1,201949,203,"126,179",1.4,1.9,264,"124,372",2,1.8,1.9,,,,,
Region 1,201950,203,"130,704",1.3,1.9,263,"130,387",2,1.9,1.9,,,,,
Region 1,201951,203,"126,539",1.5,2.4,262,"124,306",2.6,2.5,1.9,,,,,
Region 1,201952,203,"136,374",2,3.4,264,"115,551",3.9,3.7,1.9,,,,,
Region 1,202001,203,"144,820",2,4,264,"126,801",4.3,3.9,1.9,,,,,
Region 1,202002,204,"140,379",1.6,3.7,271,"136,068",3.9,3.7,1.9,,,,,
Region 1,202003,202,"135,024",1.8,4.4,269,"132,345",4.7,4.5,1.9,,,,,
Region 1,202004,202,"140,026",1.9,5.3,266,"135,131",5.7,5.3,1.9,,,,,
Region 1,202005,202,"146,517",2.2,6.3,268,"147,080",6.8,6.4,1.9,,,,,
Region 1,202006,202,"144,002",2.2,7,267,"143,439",7.6,7.1,1.9,,,,,
Region 1,202007,202,"138,278",1.9,6,266,"139,380",6.6,6.4,1.9,,,,,
Region 1,202008,202,"132,330",1.7,5.2,268,"130,014",5.9,5.7,1.9,,,,,
Region 1,202009,202,"133,081",1.5,4.3,261,"133,257",4.7,4.6,1.9,,,,,
Region 1,202010,199,"129,515",1.8,4.3,264,"129,920",4.6,4.3,1.9,,,,,
