date,region,cases
04/01/2020,X,0.0
11/01/2020,X,0.0
18/01/2020,X,0.0
25/01/2020,X,0.0
01/02/2020,X,0.0
08/02/2020,X,0.0
15/02/2020,X,0.0
22/02/2020,X,6.542166732284679
29/02/2020,X,5.505270380751277
07/03/2020,X,5.068340394792941
14/03/2020,X,5.104837240494462
21/03/2020,X,4.891688871221982
28/03/2020,X,2.8807734126197735
04/04/2020,X,1.546892240719619
11/04/2020,X,0.9216289930817029
18/04/2020,X,0.5664029471964346
25/04/2020,X,0.48790074723019505
02/05/2020,X,0.3886955128554233
09/05/2020,X,0.33130384068829777
16/05/2020,X,0.19047540482582306
23/05/2020,X,0.2937134774507468
30/05/2020,X,0.32933497179583326
06/06/2020,X,0.28230190323001586
13/06/2020,X,0.29739054869099474
20/06/2020,X,0.21516084164664717
27/06/2020,X,0.26134452892331883
04/07/2020,X,0.34547284720447635
11/07/2020,X,0.48100556051645915
18/07/2020,X,0.4776959223795919
25/07/2020,X,0.4300771832918323
01/08/2020,X,0.3436579750163478
08/08/2020,X,0.3427278381671785
15/08/2020,X,
22/08/2020,X,
29/08/2020,X,
05/09/2020,X,
12/09/2020,X,0.0
19/09/2020,X,0.0
26/09/2020,X,0.0
03/10/2020,X,0.0
04/01/2020,Region 1,0.0
11/01/2020,Region 1,0.0
18/01/2020,Region 1,0.0
25/01/2020,Region 1,0.0
01/02/2020,Region 1,0.0
08/02/2020,Region 1,0.0
15/02/2020,Region 1,0.0
22/02/2020,Region 1,7.679651263168907
29/02/2020,Region 1,5.352250772490565
07/03/2020,Region 1,4.894888295753975
14/03/2020,Region 1,5.619992346213704
21/03/2020,Region 1,4.7721622829984565
28/03/2020,Region 1,2.7576516758919496
04/04/2020,Region 1,1.9368474080902192
11/04/2020,Region 1,1.29195106415308
18/04/2020,Region 1,0.5507444663358513
25/04/2020,Region 1,0.5897570805213339
02/05/2020,Region 1,0.5618262030404837
09/05/2020,Region 1,0.4504330800658991
16/05/2020,Region 1,0.207667252443088
23/05/2020,Region 1,0.3876776842936196
30/05/2020,Region 1,0.20387208612031885
06/06/2020,Region 1,0.42929657426900936
13/06/2020,Region 1,0.2452621129435428
20/06/2020,Region 1,0.3936616534897729
27/06/2020,Region 1,0.31155408947297847
04/07/2020,Region 1,0.3096746246443176
11/07/2020,Region 1,0.6286116752736678
18/07/2020,Region 1,0.6192810493165425
25/07/2020,Region 1,0.429051935372721
01/08/2020,Region 1,0.2761805604635426
08/08/2020,Region 1,0.24127317879221372
15/08/2020,Region 1,
22/08/2020,Region 1,
29/08/2020,Region 1,
05/09/2020,Region 1,
12/09/2020,Region 1,0.0
19/09/2020,Region 1,0.0
26/09/2020,Region 1,0.0
03/10/2020,Region 1,0.0
04/01/2020,Region 2,0.0
11/01/2020,Region 2,0.0
18/01/2020,Region 2,0.0
25/01/2020,Region 2,0.0
01/02/2020,Region 2,0.0
08/02/2020,Region 2,0.0
15/02/2020,Region 2,0.0
22/02/2020,Region 2,6.2190409078270585
29/02/2020,Region 2,5.3497089811881375
07/03/2020,Region 2,5.0021971033660035
14/03/2020,Region 2,5.762031518278864
21/03/2020,Region 2,5.653334225884815
28/03/2020,Region 2,4.085883130732988
04/04/2020,Region 2,3.029304702391326
11/04/2020,Region 2,1.7872224436832027
18/04/2020,Region 2,1.106154720101201
25/04/2020,Region 2,0.8753134792077056
02/05/2020,Region 2,0.8039178739503324
09/05/2020,Region 2,0.5579016871061803
16/05/2020,Region 2,0.2780883459206101
23/05/2020,Region 2,0.3906055533587634
30/05/2020,Region 2,0.6115013067573051
06/06/2020,Region 2,0.5167524725276971
