date,region,cases
04/01/2020,X,0.0
11/01/2020,X,0.0
18/01/2020,X,0.0
25/01/2020,X,0.0
01/02/2020,X,0.0
08/02/2020,X,0.0
15/02/2020,X,0.0
22/02/2020,X,6.542166732284679
29/02/2020,X,5.505270380751277
07/03/2020,X,5.068340394792941
14/03/2020,X,5.104837240494462
21/03/2020,X,4.891688871221982
28/03/2020,X,2.8807734126197735
04/04/2020,X,1.546892240719619
11/04/2020,X,0.9216289930817029
18/04/2020,X,0.5664029471964346
25/04/2020,X,0.48790074723019505
02/05/2020,X,0.3886955128554233
09/05/2020,X,0.33130384068829777
16/05/2020,X,0.19047540482582306
23/05/2020,X,0.2937134774507468
30/05/2020,X,0.32933497179583326
06/06/2020,X,0.28230190323001586
13/06/2020,X,0.29739054869099474
20/06/2020,X,0.21516084164664717
27/06/2020,X,0.26134452892331883
04/07/2020,X,0.34547284720447635
11/07/2020,X,0.48100556051645915
18/07/2020,X,0.4776959223795919
25/07/2020,X,0.4300771832918323
01/08/2020,X,0.3436579750163478
08/08/2020,X,0.3427278381671785
15/08/2020,X,
22/08/2020,X,
29/08/2020,X,
05/09/2020,X,
12/09/2020,X,0.0
19/09/2020,X,0.0
26/09/2020,X,0.0
03/10/2020,X,0.0
04/01/2020,AL,0.0
11/01/2020,AL,0.0
18/01/2020,AL,0.0
25/01/2020,AL,0.0
01/02/2020,AL,0.0
08/02/2020,AL,0.0
15/02/2020,AL,0.0
22/02/2020,AL,4.921828768934006
29/02/2020,AL,4.0697351472936
07/03/2020,AL,3.961472391154725
14/03/2020,AL,4.376593346492774
21/03/2020,AL,4.656546483526014
28/03/2020,AL,3.070011797279968
04/04/2020,AL,1.5443872547543478
11/04/2020,AL,0.9927001303617078
18/04/2020,AL,0.5666588283769327
25/04/2020,AL,0.4896203160601503
02/05/2020,AL,0.28341436171018225
09/05/2020,AL,0.284349602704719
16/05/2020,AL,0.21169435814048151
23/05/2020,AL,0.3139114426429724
30/05/2020,AL,0.19773928486443915
06/06/2020,AL,0.39203498435340073
13/06/2020,AL,0.5074096889808261
20/06/2020,AL,0.4038621573109701
27/06/2020,AL,0.42641647862536863
04/07/2020,AL,0.3135104580468957
11/07/2020,AL,0.8425318048052064
18/07/2020,AL,0.7035943100884893
25/07/2020,AL,0.48950865733209636
01/08/2020,AL,0.5194014467109268
08/08/2020,AL,0.6303832714553487
15/08/2020,AL,
22/08/2020,AL,
29/08/2020,AL,
05/09/2020,AL,
12/09/2020,AL,0.0
19/09/2020,AL,0.0
26/09/2020,AL,0.0
03/10/2020,AL,0.0
04/01/2020,AR,0.0
11/01/2020,AR,0.0
18/01/2020,AR,0.0
25/01/2020,AR,0.0
01/02/2020,AR,0.0
08/02/2020,AR,0.0
15/02/2020,AR,0.0
22/02/2020,AR,9.553894044283332
29/02/2020,AR,8.147168025677704
07/03/2020,AR,7.90435331628552
14/03/2020,AR,5.398474407483726
21/03/2020,AR,5.047227459319814
28/03/2020,AR,3.2419020047863367
04/04/2020,AR,1.1905427925764276
11/04/2020,AR,0.48083699014776243
18/04/2020,AR,0.20628819318610278
25/04/2020,AR,0.052506612236096414
02/05/2020,AR,0.06050050210803686
09/05/2020,AR,0.1766537929190064
16/05/2020,AR,0.023178167185247647
23/05/2020,AR,0.4197763288747269
30/05/2020,AR,0.3763525677904418
06/06/2020,AR,0.07972101634311687
13/06/2020,AR,0.2655802749674229
20/06/2020,AR,0.2603749835990558
27/06/2020,AR,0.2619939215941122
04/07/2020,AR,0.10715937364245873
11/07/2020,AR,0.4377264884619867
18/07/2020,AR,0.353981926068293
25/07/2020,AR,0.32586273242083835
